path,count,first_seen,last_seen,status,sample_ip
/%252fdb.php,4,2026-08-24T12:11:20+00:00,2026-09-05T03:44:57+00:00,404,172.71.127.18
/%252fdbadmin%252f.env,4,2026-08-24T12:11:20+00:00,2026-09-05T03:44:58+00:00,404,172.71.127.17
/%252fdefault.php,4,2026-08-24T12:11:20+00:00,2026-09-05T03:44:59+00:00,404,172.71.127.18
/%252fdemo%252fphpinfo.php,4,2026-08-24T12:11:20+00:00,2026-09-05T03:44:59+00:00,404,172.71.127.17
/%252fdev%252f.env,4,2026-08-24T12:11:21+00:00,2026-09-05T03:44:59+00:00,404,172.71.127.18
/%252fdev%252fphpinfo.php,4,2026-08-24T12:11:21+00:00,2026-09-05T03:45:00+00:00,404,172.71.127.18
/%252fdevelop%252f.env,4,2026-08-24T12:11:21+00:00,2026-09-05T03:45:00+00:00,404,172.71.127.18
/%252fdevelopment%252f.env,4,2026-08-24T12:11:21+00:00,2026-09-05T03:45:00+00:00,404,172.71.127.17
/%252fdocker%252f.env,4,2026-08-24T12:11:21+00:00,2026-09-05T03:45:01+00:00,404,172.71.127.18
/%252fdocker-compose%252f.env,4,2026-08-24T12:11:21+00:00,2026-09-05T03:45:02+00:00,404,172.71.127.17
/%252fdocker-secrets.env,4,2026-08-24T12:11:22+00:00,2026-09-05T03:45:02+00:00,404,172.71.127.18
/%252fdockerfile,6,2026-08-24T12:11:22+00:00,2026-09-05T03:45:02+00:00,404,172.71.127.17
/%252fengine%252f.env,4,2026-08-24T12:11:22+00:00,2026-09-05T03:45:04+00:00,404,172.71.127.17
/%252fexported%252fphpinfo.php,4,2026-08-24T12:11:23+00:00,2026-09-05T03:45:07+00:00,404,172.71.127.18
/%252fforum%252f.env,4,2026-08-24T12:11:24+00:00,2026-09-05T03:45:08+00:00,404,172.71.127.17
/%252fforums%252f.env,4,2026-08-24T12:11:24+00:00,2026-09-05T03:45:09+00:00,404,172.71.127.17
/%252fhome%252f.env,4,2026-08-24T12:11:24+00:00,2026-09-05T03:45:10+00:00,404,172.71.127.18
/%252fhome.php,4,2026-08-24T12:11:24+00:00,2026-09-05T03:45:10+00:00,404,172.71.127.18
/%252fhost-info.php,4,2026-08-24T12:11:24+00:00,2026-09-05T03:45:11+00:00,404,172.71.127.17
/%252fhost.php,4,2026-08-24T12:11:25+00:00,2026-09-05T03:45:11+00:00,404,172.71.127.17
/%252fi.php,4,2026-08-24T12:11:25+00:00,2026-09-05T03:45:11+00:00,404,172.71.127.18
/%252finc%252fphpinfo.php,4,2026-08-24T12:11:25+00:00,2026-09-05T03:45:12+00:00,404,172.71.127.17
/%252finclude%252fphpinfo.php,6,2026-08-24T12:11:25+00:00,2026-09-05T03:45:12+00:00,404,172.71.127.18
/%252fincludes%252fphpinfo.php,4,2026-08-24T12:11:25+00:00,2026-09-05T03:45:12+00:00,404,172.71.127.17
/%252findex.php%3f%3d-phpinfo%28%29,4,2026-08-24T12:11:25+00:00,2026-09-05T03:45:13+00:00,404,172.71.127.17
/%252findex.php%3f%3dphpinfo%28%29,4,2026-08-24T12:11:25+00:00,2026-09-05T03:45:13+00:00,404,172.71.127.18
/%252findex.php%3faction%3dphpinfo,4,2026-08-24T12:11:25+00:00,2026-09-05T03:45:14+00:00,404,172.71.127.17
/%252findex.php%3fdo%3dphpinfo,4,2026-08-24T12:11:26+00:00,2026-09-05T03:45:14+00:00,404,172.71.127.17
/%252findex.php%3fmode%3dphpinfo,4,2026-08-24T12:11:26+00:00,2026-09-05T03:45:14+00:00,404,172.71.127.17
/%252findex.php%3fpage%3dphpinfo,4,2026-08-24T12:11:26+00:00,2026-09-05T03:45:14+00:00,404,172.71.127.17
/%252findex.php%3fphpinfo%3d1,4,2026-08-24T12:11:26+00:00,2026-09-05T03:45:15+00:00,404,172.71.127.18
/%252findex.php%3fview%3dphpinfo,4,2026-08-24T12:11:26+00:00,2026-09-05T03:45:15+00:00,404,172.71.127.18
/%252findex_dev.php%252f_profiler%252fopen%3ffile%3dapp%252f.env,4,2026-08-24T12:11:26+00:00,2026-09-05T03:45:15+00:00,404,172.71.127.18
/%252finfo%252finfo.php,4,2026-08-24T12:11:26+00:00,2026-09-05T03:45:16+00:00,404,172.71.127.18
/%252finfo%252fphp.php,4,2026-08-24T12:11:27+00:00,2026-09-05T03:45:16+00:00,404,172.71.127.18
/%252finfo%252fphpinfo.php,4,2026-08-24T12:11:27+00:00,2026-09-05T03:45:17+00:00,404,172.71.127.18
/%252finfo.php,4,2026-08-24T12:11:27+00:00,2026-09-05T03:45:17+00:00,404,172.71.127.17
/%252finfophp.php,6,2026-08-24T12:11:27+00:00,2026-09-05T03:45:17+00:00,404,172.71.127.18
/%252flaravel%252f.env,4,2026-08-24T12:11:27+00:00,2026-09-05T03:45:18+00:00,404,172.71.127.17
/%252flocal%252fphpinfo.php,4,2026-08-24T12:11:27+00:00,2026-09-05T03:45:18+00:00,404,172.71.127.18
/%252fmagento%252fapp%252fetc%252fenv.php,4,2026-08-24T12:11:28+00:00,2026-09-05T03:45:19+00:00,404,172.71.127.18
/%252fmaster%252f.env,4,2026-08-24T12:11:28+00:00,2026-09-05T03:45:20+00:00,404,172.71.127.18
/%252fmysql%252f.env,4,2026-08-24T12:11:28+00:00,2026-09-05T03:45:20+00:00,404,172.71.127.17
/%252fnew%252f.env,4,2026-08-24T12:11:28+00:00,2026-09-05T03:45:21+00:00,404,172.71.127.18
/%252fold%252f.env,4,2026-08-24T12:11:28+00:00,2026-09-05T03:45:22+00:00,404,172.71.127.17
